warehouse_id,sku,lp,sp,profit_per_quantity,no_of_units,total_profit_per_sku,min_units,max_units
144,UNICORN-UNILEVER-130124-0009,73.05,77.253125,4.203125,20,84.0625,10,30
156,UNICORN-UNILEVER-181123-1091,27037.43,29015,1977.57,1,1977.57,0,1
2379,UNICORN-UNILEVER-010124-7250,124.52,131.67138,7.15138,353,2524.43714,176,529
2379,UNICORN-UNILEVER-130723-1810,91.5396,96.4583,4.9187,25,122.9675,12,37
2379,UNICORN-UNILEVER-130723-1799,124.9525,105.4167,-19.5358,13,-253.9654,6,19
2379,UNICORN-UNILEVER-130723-1749,312.62,351,38.38,3,115.14,1,4
144,UNICORN-UNILEVER-090324-7133,152.22,161.572,9.351333333,123,1150.214,61,184
2720,UNICORN-UNILEVER-090324-6227,3.97,4.270958,0.300958,3852,1159.290216,1926,5778
2720,UNICORN-UNILEVER-091023-1222,458.37,483,24.63,2,49.26,1,3
144,UNICORN-UNILEVER-120224-0020,138.15,146.0864,7.9364,11,87.3004,5,16
144,UNICORN-UNILEVER-200224-3791,331.93,351.000417,19.070417,7,133.492919,3,10
144,UNICORN-UNILEVER-130723-1816,62.3183,65.6667,3.3484,1,3.3484,0,1
2671,UNICORN-UNILEVER-090324-7133,152.216333,161.572,9.355667,120,1122.68004,60,180
2720,UNICORN-UNILEVER-030224-9115,75.846833,80.5085,4.661667,2994,13957.031,1497,4491
2720,UNICORN-UNILEVER-120224-1579,98.105,103.743333,5.638333,6,33.829998,3,9
2720,UNICORN-UNILEVER-080224-1021,8.4433,8.928542,0.485242,57,27.658794,28,85
2720,UNICORN-UNILEVER-130723-1700,381.5004,402,20.4996,2,40.9992,1,3
144,UNICORN-UNILEVER-070324-2950,58.9875,62.3775,3.39,37,125.43,18,55
144,UNICORN-UNILEVE-270124-5937,62.1,65.668333,3.568333,17,60.661661,8,25
2379,UNICORN-UNILEVER-060124-8893,76.388519,80.778333,4.389814,17,74.626838,8,25
2379,UNICORN-UNILEVER-020324-1004,47.677222,50.41713,2.739908,81,221.932548,40,121
2379,UNICORN-UNILEVER-030224-9115,75.846833,80.5085,4.661667,13,60.601671,6,19
2379,UNICORN-UNILEVER-250723-1128,121.89,128.44,6.55,1,6.55,0,1
