warehouse_id,sku,sku_id,lp,sp,profit_per_quantity,no_of_units,total_profit_per_sku,min_units,max_units,Optimal_Units,Optimal_Profit_Per_SKU
144,UNICORN-UNILEVER-130723-1468,144UNICORN-UNILEVER-130723-1468,142.506,99.79,-42.716,2,-85.432,1,3,1.0,-42.716
144,UNICORN-UNILEVER-130723-1378,144UNICORN-UNILEVER-130723-1378,84.38,88.9167,4.5367,3,13.6101,1,4,1.0,4.5367
144,UNICORN-UNILEVER-130723-1672,144UNICORN-UNILEVER-130723-1672,218.7463,213.5,-64.7463,2,-129.4926,1,3,1.0,-64.7463
2671,UNICORN-UNILEVER-190224-7388,2671UNICORN-UNILEVER-190224-7388,199.36,224.9942,25.6342,1220,31273.724,610,1830,1830.0,46910.586
2671,UNICORN-UNILEVER-080124-0011,2671UNICORN-UNILEVER-080124-0011,41.51,43.8904,2.3804,137,326.1148,68,205,68.0,161.8672
2671,UNICORN-UNILEVER-031023-1005,2671UNICORN-UNILEVER-031023-1005,51.33,55.076667,3.746667,3,11.240001,1,4,4.0,14.986668
144,UNICORN-UNILEVER-130723-1400,144UNICORN-UNILEVER-130723-1400,212.5771,184.0,-28.5771,1,-28.5771,0,1,0.0,-0.0
144,UNICORN-UNILEVER-130723-1454,144UNICORN-UNILEVER-130723-1454,345.6754,289.75,-35.9254,11,-395.1794,5,16,5.0,-179.627
144,UNICORN-UNILEVER-130723-1336,144UNICORN-UNILEVER-130723-1336,3.26,3.4308,0.1708,72,12.2976,36,108,36.0,6.1488000000000005
156,UNICORN-UNILEVER-190224-7388,156UNICORN-UNILEVER-190224-7388,199.36,224.9942,25.6342,792,20302.2864,396,1188,1188.0,30453.4296
156,UNICORN-UNILEVER-220224-3025,156UNICORN-UNILEVER-220224-3025,12.42,13.76,1.34,7200,9648.0,3600,10800,10800.0,14472.0
156,UNICORN-UNILEVER-200224-3788,156UNICORN-UNILEVER-200224-3788,12.42,13.755153,1.335153,4320,5767.86096,2160,6480,6480.0,8651.79144
156,UNICORN-UNILEVER-281223-7453,156UNICORN-UNILEVER-281223-7453,148.36,156.33333,7.97333,17,135.54661,8,25,8.0,63.78664
156,UNICORN-UNILEVER-300923-0990,156UNICORN-UNILEVER-300923-0990,59.09,62.2609,3.1709,4,12.6836,2,6,2.0,6.3418
2720,UNICORN-UNILEVER-240224-4622,2720UNICORN-UNILEVER-240224-4622,4.0389,4.270958,0.232058,9085,2108.24693,4542,13627,4542.0,1054.0074359999999
156,UNICORN-UNILEVER-111223-6743,156UNICORN-UNILEVER-111223-6743,203.43,230.4933,27.0633,84,2273.3172,42,126,126.0,3409.9758
156,UNICORN-UNILEVER-170224-1013,156UNICORN-UNILEVER-170224-1013,48.54,55.07625,6.53625,515,3366.16875,257,772,772.0,5045.985
2671,UNICORN-UNILEVER-280224-2024,2671UNICORN-UNILEVER-280224-2024,8.13,8.928542,0.798542,493,393.681206,246,739,739.0,590.122538
2671,UNICORN-UNILEVER-280224-7455,2671UNICORN-UNILEVER-280224-7455,8.13,8.928542,0.798542,674,538.217308,337,1011,1011.0,807.325962
2671,UNICORN-UNILEVER-130723-1719,2671UNICORN-UNILEVER-130723-1719,76.66,80.78,4.12,8,32.96,4,12,4.0,16.48
2671,UNICORN-UNILEVER-261023-1979,2671UNICORN-UNILEVER-261023-1979,157.86,171.2,13.34,2,26.68,1,3,3.0,40.019999999999996
2671,UNICORN-UNILEVER-170124-4086,2671UNICORN-UNILEVER-170124-4086,161.9,171.2037,9.3037,5,46.5185,2,7,2.0,18.6074
2671,UNICORN-UNILEVER-230124-0647,2671UNICORN-UNILEVER-230124-0647,331.92,351.0004,19.0804,24,457.9296,12,36,12.0,228.96480000000003
2379,UNICORN-UNILEVER-170224-1009,2379UNICORN-UNILEVER-170224-1009,2.01,2.57998,0.56998,8434,4807.21132,4217,12651,12651.0,7210.8169800000005
2379,UNICORN-UNILEVER-060124-8889,2379UNICORN-UNILEVER-060124-8889,212.91,225.1475,12.2375,1,12.2375,0,1,0.0,0.0
2379,UNICORN-UNILEVER-130723-1268,2379UNICORN-UNILEVER-130723-1268,21.75,22.9167,1.1667,14,16.3338,7,21,7.0,8.1669
144,UNICORN-UNILEVER-100224-0003,144UNICORN-UNILEVER-100224-0003,3.24,3.430536,0.190536,125682,23946.94555,62841,188523,188523.0,35920.418328
144,UNICORN-UNILEVER-190224-7387,144UNICORN-UNILEVER-190224-7387,24.6998,27.523,2.8232,11171,31537.9672,5585,16756,16756.0,47305.5392
144,UNICORN-UNILEVER-130723-1560,144UNICORN-UNILEVER-130723-1560,86.1223,90.75,4.6277,2,9.2554,1,3,1.0,4.6277
144,UNICORN-UNILEVER-250723-1126,144UNICORN-UNILEVER-250723-1126,98.45,99.42,0.97,1,0.97,0,1,0.0,0.0
