sku,warehouse_id,lp,no_of_units,max_units,min_units,quantity
UNICORN-UNILEVER-130723-1306,144,194.55,1,1,1,1.0
UNICORN-UNILEVER-0601-2021,144,2.52,36,54,18,54.0
UNICORN-UNILEVER-130124-0007,3004,328.52,15,22,7,7.0
UNICORN-UNILEVER-0601-2023,3004,78.99,6056,9084,3028,9084.0
UNICORN-UNILEVER-0601-2046,3004,43.43,513,769,256,256.0
UNICORN-UNILEVER-150124-9333,3004,508.18,2,3,1,1.0
UNICORN-UNILEVER-280124-2562,3004,380.1383,23,34,11,11.0
UNICORN-UNILEVER-120224-0022,3004,456.7641,4,6,2,2.0
UNICORN-UNILEVER-170124-7265,3004,569.7575,14,21,7,7.0
UNICORN-UNILEVER-040324-3351,3004,57.696268,6137,9205,3068,3068.0
UNICORN-UNILEVER-0601-2058,3004,161.9,55,82,27,27.0
UNICORN-UNILEVER-030224-7186,3004,41.85,357,535,178,178.0
UNICORN-UNILEVER-070324-7226,3004,147.84,11,16,5,5.0
UNICORN-UNILEVER-270224-8350,3004,131.28,2294,3441,1147,1147.0
UNICORN-UNILEVER-240224-1021,3004,3.18,2196,3294,1098,3294.0
UNICORN-UNILEVER-170124-0864,3004,4.24,23429,35143,11714,35143.0
UNICORN-UNILEVER-150224-2264,3004,54.06,51,76,25,76.0
UNICORN-UNILEVER-120224-0020,3004,138.15,11,16,5,5.0
UNICORN-UNILEVER-0601-2018,3004,149.55,53,79,26,26.0
UNICORN-UNILEVER-130224-3946,3004,58.56,502,753,251,251.0
UNICORN-UNILEVER-080124-3335,3004,87.31,33,49,16,49.0
UNICORN-UNILEVER-110124-2225,3004,164.52,75,112,37,37.0
UNICORN-UNILEVER-0601-2059,3004,3.29,2640,3960,1320,1320.0
UNICORN-UNILEVER-110124-2223,3004,41.51,5159,7738,2579,2579.0
UNICORN-UNILEVER-190224-7926,3004,42.56,92,138,46,46.0
UNICORN-UNILEVER-060124-8898,3004,118.68,82,123,41,41.0
UNICORN-UNILEVER-280124-1456,3004,3.24,14817,22225,7408,22225.0
UNICORN-UNILEVER-280124-2560,3004,4.06,23444,35166,11722,11722.0
UNICORN-UNILEVER-140224-2749,3004,87.31,65,97,32,97.0
UNICORN-UNILEVER-070324-7224,3004,80.0,110,165,55,165.0
UNICORN-UNILEVER-150124-3330,3004,583.15,4,6,2,2.0
UNICORN-UNILEVER-240224-4622,3004,4.04,8603,12904,4301,4301.0
UNICORN-UNILEVER-140224-9264,3004,141.93,12,18,6,6.0
UNICORN-UNILEVER-100124-1224,3004,59.79,1063,1594,531,531.0
UNICORN-UNILEVER-150124-3331,3004,542.46,7,10,3,3.0
UNICORN-UNILEVER-070324-7228,3004,115.7,134,201,67,201.0
UNICORN-UNILEVER-040224-1022,3004,62.11,146,219,73,73.0
UNICORN-UNILEVER-130124-0015,3004,371.19,152,228,76,76.0
UNICORN-UNILEVER-120224-0021,3004,1.65,100797,151195,50398,151195.0
UNICORN-UNILEVER-080224-1026,3004,8.38,2320,3480,1160,3480.0
UNICORN-UNILEVER-0601-2043,3004,52.08,126,189,63,189.0
UNICORN-UNILEVER-200224-3788,3004,12.42,720,1080,360,1080.0
UNICORN-UNILEVER-300124-5936,3004,219.39,9,13,4,4.0
UNICORN-UNILEVER-140224-9267,3004,99.64,165,247,82,82.0
UNICORN-UNILEVER-060124-8909,3004,16.68,4064,6096,2032,6096.0
UNICORN-UNILEVER-060124-8900,3004,74.74,1,1,1,1.0
UNICORN-UNILEVER-070324-7231,3004,212.77,3,4,1,1.0
UNICORN-UNILEVER-020324-1004,3004,47.68,937,1405,468,468.0
UNICORN-UNILEVER-130124-0017,3004,517.02,49,73,24,24.0
UNICORN-UNILEVER-280124-0020,3004,344.47,11,16,5,5.0
UNICORN-UNILEVER-300124-4725,3004,108.75,44,66,22,66.0
UNICORN-UNILEVER-0601-2044,3004,52.08,360,540,180,540.0
UNICORN-UNILEVER-080124-6401,3004,164.52,23,34,11,11.0
UNICORN-UNILEVER-280124-2561,3004,2.44,1041,1561,520,520.0
UNICORN-UNILEVER-0601-2024,3004,34.54,636,954,318,954.0
UNICORN-UNILEVER-0601-2049,3004,43.43,1150,1725,575,575.0
UNICORN-UNILEVER-150124-9332,3004,530.27,5,7,2,2.0
UNICORN-UNILEVER-220224-3773,3004,141.85,53,79,26,26.0
UNICORN-UNILEVER-060324-8179,3004,8.48,1502,2253,751,2253.0
UNICORN-UNILEVER-0601-2039,3004,39.09,1232,1848,616,616.0
UNICORN-UNILEVER-270224-2313,3004,82.42,83,124,41,124.0
UNICORN-UNILEVER-050224-0002,3004,74.38,226,339,113,339.0
UNICORN-UNILEVER-080124-0015,3004,42.39,76,114,38,114.0
UNICORN-UNILEVER-0601-2034,3004,12.55,3150,4725,1575,4725.0
UNICORN-UNILEVER-080124-3341,3004,96.29,26,39,13,39.0
UNICORN-UNILEVER-060124-8894,3004,66.66,68,102,34,34.0
UNICORN-UNILEVER-050324-6827,3004,0.75,129104,193656,64552,193656.0
UNICORN-UNILEVER-140224-9265,3004,107.63,14,21,7,7.0
UNICORN-UNILEVER-190224-7388,3004,199.36,324,486,162,486.0
UNICORN-UNILEVER-130124-0005,3004,219.39,17,25,8,8.0
UNICORN-UNILEVER-130124-0008,3004,569.76,5,7,2,2.0
UNICORN-UNILEVER-080124-0016,3004,79.99,257,385,128,385.0
UNICORN-UNILEVER-120224-1582,3004,49.45,359,538,179,179.0
UNICORN-UNILEVER-140224-2750,3004,156.73,4,6,2,2.0
UNICORN-UNILEVER-060124-8888,3004,222.27,18,27,9,27.0
UNICORN-UNILEVER-040224-1020,3004,62.11,98,147,49,49.0
