sku,warehouse_id,lp,no_of_units,max_units,min_units,quantity
UNICORN-UNILEVER-130124-5271,3004,689.36,28,42,14,14.0
UNICORN-UNILEVER-150124-3865,3004,132.83,353,529,176,176.0
UNICORN-UNILEVER-070324-7229,3004,70.94,6,9,3,3.0
UNICORN-UNILEVER-270224-2311,3004,46.43,745,1117,372,1117.0
UNICORN-UNILEVER-070324-7227,3004,8.27,72,108,36,108.0
UNICORN-UNILEVER-080124-0014,3004,26.12,977,1465,488,488.0
UNICORN-UNILEVER-080124-1888,3004,30.39,70,105,35,105.0
UNICORN-UNILEVER-110124-0022,3004,406.54,40,60,20,20.0
UNICORN-UNILEVER-0601-2063,3004,3.24,600,900,300,900.0
UNICORN-UNILEVER-300124-3659,3004,151.58,304,456,152,456.0
UNICORN-UNILEVER-130723-9933,3004,54.06,48,72,24,72.0
UNICORN-UNILEVER-080124-6400,3004,127.9,32,48,16,16.0
UNICORN-UNILEVER-100224-0003,3004,3.24,19775,29662,9887,29662.0
UNICORN-UNILEVER-080124-6391,3004,24.82,4850,7275,2425,7275.0
UNICORN-UNILEVER-280124-2559,3004,142.2,191,286,95,95.0
UNICORN-UNILEVER-180224-2775,3004,172.78,42,63,21,21.0
UNICORN-UNILEVER-0601-2057,3004,161.9,49,73,24,24.0
UNICORN-UNILEVER-14024-1988,3004,91.22,291,436,145,145.0
UNICORN-UNILEVER-070324-7225,3004,64.3,2,3,1,3.0
UNICORN-UNILEVER-060124-0007,3004,59.79,1102,1653,551,551.0
UNICORN-UNILEVER-080124-0012,3004,217.97,7,10,3,3.0
UNICORN-UNILEVER-100224-0005,3004,269.52,55,82,27,27.0
UNICORN-UNILEVER-170124-7267,3004,78.49,2052,3078,1026,1026.0
UNICORN-UNILEVER-0601-2020,3004,149.55,94,141,47,47.0
UNICORN-UNILEVER-0601-2007,3004,12.77,1019,1528,509,509.0
UNICORN-UNILEVER-250124-4427,3004,87.31,22,33,11,33.0
UNICORN-UNILEVER-310723-0008,3004,118.92,34,51,17,17.0
UNICORN-UNILEVER-060124-0012,3004,331.93,14,21,7,7.0
UNICORN-UNILEVER-050324-6828,3004,25.96,8745,13117,4372,13117.0
UNICORN-UNILEVER-080224-1022,3004,52.08,577,865,288,865.0
UNICORN-UNILEVER-130124-5270,3004,406.54,58,87,29,29.0
UNICORN-UNILEVER-200224-3791,3004,331.93,30,45,15,15.0
UNICORN-UNILEVER-170224-1011,3004,32.98,2014,3021,1007,3021.0
UNICORN-UNILEVER-170224-1013,3004,48.54,52,78,26,78.0
UNICORN-UNILEVER-220224-3025,3004,12.42,7147,10720,3573,10720.0
UNICORN-UNILEVER-110124-2222,3004,2.52,16956,25434,8478,25434.0
UNICORN-UNILEVER-0601-2009,3004,117.12,123,184,61,61.0
UNICORN-UNILEVER-040224-1021,3004,62.11,53,79,26,26.0
UNICORN-UNILEVER-180124-3882,3004,76.16,273,409,136,136.0
UNICORN-UNILEVER-170124-4086,3004,161.9,6,9,3,3.0
UNICORN-UNILEVER-010124-7250,3004,124.52,850,1275,425,425.0
UNICORN-UNILEVER-070324-7230,3004,61.94,71,106,35,35.0
UNICORN-UNILEVER-0601-2053,3004,138.15,32,48,16,16.0
UNICORN-UNILEVER-100224-0002,3004,41.37,1080,1620,540,540.0
UNICORN-UNILEVER-0601-2013,3004,114.58,528,792,264,792.0
UNICORN-UNILEVER-0601-2038,3004,39.09,1187,1780,593,593.0
UNICORN-UNILEVER-060224-4725,3004,16.39,240,360,120,120.0
UNICORN-UNILEVER-230124-0647,3004,331.92,45,67,22,22.0
UNICORN-UNILEVER-111223-8257,3004,0.79,30240,45360,15120,15120.0
UNICORN-UNILEVER-080124-6394,3004,107.63,12,18,6,6.0
UNICORN-UNILEVER-070324-7223,3004,148.14,133,199,66,199.0
UNICORN-UNILEVER-270124-3770,3004,149.55,27,40,13,13.0
UNICORN-UNILEVER-0601-2011,3004,21.67,21,31,10,31.0
UNICORN-UNILEVER-0601-2042,3004,8.44,288,432,144,432.0
UNICORN-UNILEVER-0601-2054,3004,118.49,170,255,85,85.0
UNICORN-UNILEVER-280124-2563,3004,380.14,39,58,19,19.0
UNICORN-UNILEVER-130124-0009,3004,73.06,2,3,1,0.0
UNICORN-UNILEVER-100224-0004,3004,151.31,294,441,147,147.0
UNICORN-UNILEVER-100224-2640,3004,212.77,144,216,72,72.0
UNICORN-UNILEVER-200224-3789,3004,52.09,17,25,8,8.0
UNICORN-UNILEVER-211023-1226,3004,677.32,1,1,1,1.0
UNICORN-UNILEVER-140224-9266,3004,47.68,1171,1756,585,585.0
UNICORN-UNILEVER-120224-6265,3004,82.12,81,121,40,121.0
UNICORN-UNILEVER-270224-7110,3004,7.76,696,1044,348,1044.0
UNICORN-UNILEVER-190224-7389,3004,124.23,120,180,60,180.0
UNICORN-UNILEVER-270124-3769,3004,196.23,13,19,6,6.0
UNICORN-UNILEVER-0601-2026,3004,106.39,2,3,1,1.0
UNICORN-UNILEVER-170224-1014,3004,48.54,180,270,90,270.0
UNICORN-UNILEVER-130124-0018,3004,273.98,2,3,1,1.0
UNICORN-UNILEVER-060124-0002,3004,73.05,51,76,25,76.0
UNICORN-UNILEVER-170124-4088,3004,402.68,2,3,1,1.0
UNICORN-UNILEVER-190224-7927,3004,130.91,17,25,8,8.0
UNICORN-UNILEVER-080124-6398,3004,72.74,171,256,85,85.0
UNICORN-UNILEVER-170224-1009,3004,2.31,2377,3565,1188,3565.0
UNICORN-UNILEVER-080224-1021,3004,8.44,36,54,18,54.0
UNICORN-UNILEVER-110124-0021,3004,198.85,108,162,54,54.0
UNICORN-UNILEVER-0601-2016,3004,2.44,3168,4752,1584,1584.0
UNICORN-UNILEVER-060124-0011,3004,267.72,12,18,6,18.0
UNICORN-UNILEVER-0601-2047,3004,43.43,1455,2182,727,727.0
UNICORN-UNILEVER-130124-0016,3004,366.77,5,7,2,2.0
UNICORN-UNILEVER-200224-3791,2671,331.93,11,16,5,5.0
UNICORN-UNILEVER-030224-7186,2671,41.85,627,940,313,313.0
UNICORN-UNILEVER-070324-2950,2671,58.99,208,312,104,104.0
UNICORN-UNILEVE-270124-5937,2671,62.1,9,13,4,4.0
UNICORN-UNILEVER-091223-9302,2671,75.36,54,81,27,81.0
UNICORN-UNILEVER-200124-3076,2671,583.15,1,1,1,1.0
UNICORN-UNILEVER-130723-1529,2671,223.06,1,1,1,1.0
UNICORN-UNILEVER-310723-0008,2671,118.92,1,1,1,1.0
UNICORN-UNILEVER-020324-1004,2671,47.68,50,75,25,25.0
UNICORN-UNILEVER-070324-2951,2671,38.56,83,124,41,41.0
UNICORN-UNILEVER-070324-7226,2671,147.84,3,4,1,1.0
UNICORN-UNILEVER-120923-3359,2671,86.99,3,4,1,1.0
UNICORN-UNILEVER-130723-1388,2671,51.76,6,9,3,9.0
UNICORN-UNILEVER-130124-0009,144,73.05,20,30,10,30.0
UNICORN-UNILEVER-181123-1091,156,27037.43,1,1,1,1.0
UNICORN-UNILEVER-010124-7250,2379,124.52,353,529,176,176.0
UNICORN-UNILEVER-130723-1810,2379,91.5396,25,37,12,12.0
UNICORN-UNILEVER-130723-1799,2379,124.9525,13,19,6,6.0
UNICORN-UNILEVER-130723-1749,2379,312.62,3,4,1,4.0
UNICORN-UNILEVER-090324-7133,144,152.22,123,184,61,184.0
UNICORN-UNILEVER-090324-6227,2720,3.97,3852,5778,1926,5778.0
UNICORN-UNILEVER-091023-1222,2720,458.37,2,3,1,1.0
UNICORN-UNILEVER-120224-0020,144,138.15,11,16,5,5.0
UNICORN-UNILEVER-200224-3791,144,331.93,7,10,3,3.0
UNICORN-UNILEVER-130723-1816,144,62.3183,1,1,1,0.0
UNICORN-UNILEVER-090324-7133,2671,152.216333,120,180,60,180.0
UNICORN-UNILEVER-030224-9115,2720,75.846833,2994,4491,1497,4491.0
UNICORN-UNILEVER-120224-1579,2720,98.105,6,9,3,3.0
UNICORN-UNILEVER-080224-1021,2720,8.4433,57,85,28,28.0
UNICORN-UNILEVER-130723-1700,2720,381.5004,2,3,1,1.0
UNICORN-UNILEVER-070324-2950,144,58.9875,37,55,18,18.0
UNICORN-UNILEVE-270124-5937,144,62.1,17,25,8,8.0
UNICORN-UNILEVER-060124-8893,2379,76.388519,17,25,8,8.0
UNICORN-UNILEVER-020324-1004,2379,47.677222,81,121,40,40.0
UNICORN-UNILEVER-030224-9115,2379,75.846833,13,19,6,19.0
UNICORN-UNILEVER-250723-1128,2379,121.89,1,1,1,1.0
0,"give-budget:105093308, total-budget-used:1894030047.3602204, budget-overspend: 1788936739.3602204, total-profit-got:105526078.13104887,",,,,,
